StudentID,Age,Gender,MaritalStatus,HighSchoolGPA,EntranceScore,StudyProgram,YearOfStudy,Modeofstudy,PartTimeFullTime,Scholarship,FinancialAid,TuitionStatus,UniversityGPA,CourseFailures,AcademicProbation,LibraryUses,DistanceFromHome,EmploymentStatus,Churn
1,24,F,Single,97.60285371316697,829.1773615186867,Economics,1,Conventional,Full-time,True,True,Paid,0.36662010243225884,7,False,43,446.9416635237456,Student,False
2,23,F,Divorced,96.71606322287964,870.8132901392487,Marketing Management,4,Block,Full-time,False,True,Paid,1.2770865825790212,4,False,7,246.1714045458463,Unemployed,False
3,21,Other,Divorced,80.20902142679148,843.8096019281355,Transport and Logistics,3,Block,Full-time,False,False,Paid,0.0681112479161623,6,False,13,268.0929218612379,Student,True
4,20,F,Single,90.36381690485649,878.0930124842415,Transport and Logistics,3,Conventional,Part-time,False,False,Exempt,3.830429042275319,3,True,32,455.22000292383456,Unemployed,False
5,21,Other,Divorced,89.0269739461394,813.4606150117171,Business Management,2,Block,Full-time,False,True,Unpaid,3.189202250065667,5,True,28,82.48365070055974,Student,False
6,21,F,Divorced,90.6344921608528,807.6293748857995,"Archaeology, Museums and Heritage Studies",2,Conventional,Full-time,False,True,Paid,2.8021012396346,1,False,38,161.13547617485796,Student,False
7,20,M,Single,86.73887381707964,822.1231802473092,"Archaeology, Museums and Heritage Studies",1,Block,Part-time,False,True,Paid,3.8740000314492202,3,False,37,312.1854522223731,Unemployed,True
8,20,Other,Divorced,90.99883753987599,825.8586151658031,Fiscal Studies,4,Conventional,Full-time,True,True,Unpaid,0.8364495684359659,6,False,21,193.41632796933257,Unemployed,True
9,21,F,Married,80.30137401917428,818.6259200318891,Sociology,1,Conventional,Full-time,True,True,Unpaid,1.7561653552298582,5,False,34,273.3835411659069,Employed,True
10,23,M,Divorced,94.26641841167707,873.1776757934078,Politics and Public Administration,3,Block,Full-time,True,False,Unpaid,3.365418782865665,7,True,34,29.8373435673292,Unemployed,True
11,24,Other,Divorced,93.19116579712549,823.3550948709623,Musicology and Ethnochoreology,1,Conventional,Full-time,True,True,Exempt,2.5663485364744445,7,False,24,284.3035594693135,Student,False
12,18,F,Single,85.23993867551029,862.3142563942608,Sociology,4,Block,Part-time,True,True,Exempt,0.8870233642322307,3,False,12,25.746419693149946,Employed,True
13,23,Other,Divorced,97.1258296434062,802.9737449111434,Finance,4,Conventional,Part-time,True,False,Unpaid,0.8412693720698439,3,True,49,313.15852076008935,Unemployed,False
14,22,M,Single,80.13146580714542,863.0745743996828,Information Systems,4,Conventional,Part-time,False,False,Exempt,3.414111650726992,4,True,20,233.79008235456283,Unemployed,True
15,18,Other,Single,91.10349586650798,885.7758251181501,Urban Planning and Development,1,Block,Part-time,False,False,Unpaid,2.9057551534151114,7,True,22,199.38490474709337,Student,True
16,24,F,Married,94.58369539289924,801.5718135000122,Office Management,4,Conventional,Part-time,False,False,Paid,2.6537425860409347,6,True,8,350.9267648305492,Student,False
17,19,F,Divorced,80.71789011291682,859.5461957920686,XiChangana,1,Block,Part-time,True,True,Unpaid,1.990503274700576,9,True,2,89.48961159309765,Employed,True
18,20,M,Single,93.0153147202304,812.6388952865002,Office Management,4,Block,Full-time,True,True,Unpaid,0.43315410599987736,3,True,18,226.33791783678248,Student,True
19,19,Other,Married,82.40128005493123,827.6482008650158,Information Systems,1,Conventional,Full-time,False,False,Exempt,1.7921492554427476,0,False,27,309.85751866662287,Unemployed,False
